"scene","image","bbmin","bbmax","camera.position","camera.up","camera.target","camera.direction"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/armchair/models/model_normalized.obj-0","model_normalized.obj-0.png","(-0.8712809, -0.7308799, -0.63056517)","(0.87128603, 0.5209565, 0.7288351)","(-3.4408355, -0.10496169, 0.049135)","(-0.0, 1.0, 0.0)","(2.5629997E-6, -0.10496169, 0.049135)","(0.99999994, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/armchair/models/model_normalized.obj-1","model_normalized.obj-1.png","(-0.8712809, -0.7308799, -0.63056517)","(0.87128603, 0.5209565, 0.7288351)","(3.4408407, -0.10496169, 0.049135)","(0.0, 1.0, 0.0)","(2.5629997E-6, -0.10496169, 0.049135)","(-0.99999994, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/armchair/models/model_normalized.obj-2","model_normalized.obj-2.png","(-0.8712809, -0.7308799, -0.63056517)","(0.87128603, 0.5209565, 0.7288351)","(2.5629997E-6, -3.521223, 0.049135)","(-1.0, 0.0, 0.0)","(2.5629997E-6, -0.10496169, 0.049135)","(0.0, 0.99999994, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/armchair/models/model_normalized.obj-3","model_normalized.obj-3.png","(-0.8712809, -0.7308799, -0.63056517)","(0.87128603, 0.5209565, 0.7288351)","(2.5629997E-6, 3.3112996, 0.049135)","(-1.0, 0.0, 0.0)","(2.5629997E-6, -0.10496169, 0.049135)","(0.0, -1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/armchair/models/model_normalized.obj-4","model_normalized.obj-4.png","(-0.8712809, -0.7308799, -0.63056517)","(0.87128603, 0.5209565, 0.7288351)","(2.5629997E-6, -0.10496169, -3.3131964)","(0.0, 1.0, 0.0)","(2.5629997E-6, -0.10496169, 0.049135)","(0.0, 0.0, 1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/armchair/models/model_normalized.obj-5","model_normalized.obj-5.png","(-0.8712809, -0.7308799, -0.63056517)","(0.87128603, 0.5209565, 0.7288351)","(2.5629997E-6, -0.10496169, 3.4114664)","(0.0, 1.0, 0.0)","(2.5629997E-6, -0.10496169, 0.049135)","(0.0, 0.0, -1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/armchair/models/model_normalized.obj-6","model_normalized.obj-6.png","(-0.8712809, -0.7308799, -0.63056517)","(0.87128603, 0.5209565, 0.7288351)","(2.5629997E-6, -0.10496199, 3.4114664)","(0.0, 1.0, 0.0)","(2.5629997E-6, -0.10496169, 0.049135)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/armchair/models/model_normalized.obj-7","model_normalized.obj-7.png","(-0.8712809, -0.7308799, -0.63056517)","(0.87128603, 0.5209565, 0.7288351)","(-2.4330373, -0.10496199, 2.4266622)","(0.0, 1.0, 0.0)","(2.5629997E-6, -0.10496169, 0.049135)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/armchair/models/model_normalized.obj-8","model_normalized.obj-8.png","(-0.8712809, -0.7308799, -0.63056517)","(0.87128603, 0.5209565, 0.7288351)","(-3.4408355, -0.10496199, 0.049134854)","(0.0, 1.0, 0.0)","(2.5629997E-6, -0.10496169, 0.049135)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/armchair/models/model_normalized.obj-9","model_normalized.obj-9.png","(-0.8712809, -0.7308799, -0.63056517)","(0.87128603, 0.5209565, 0.7288351)","(-2.4330373, -0.10496199, -2.3283923)","(0.0, 1.0, 0.0)","(2.5629997E-6, -0.10496169, 0.049135)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/armchair/models/model_normalized.obj-10","model_normalized.obj-10.png","(-0.8712809, -0.7308799, -0.63056517)","(0.87128603, 0.5209565, 0.7288351)","(2.8638074E-6, -0.10496199, -3.3131964)","(0.0, 1.0, 0.0)","(2.5629997E-6, -0.10496169, 0.049135)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/armchair/models/model_normalized.obj-11","model_normalized.obj-11.png","(-0.8712809, -0.7308799, -0.63056517)","(0.87128603, 0.5209565, 0.7288351)","(2.433043, -0.10496199, -2.328392)","(0.0, 1.0, 0.0)","(2.5629997E-6, -0.10496169, 0.049135)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/armchair/models/model_normalized.obj-12","model_normalized.obj-12.png","(-0.8712809, -0.7308799, -0.63056517)","(0.87128603, 0.5209565, 0.7288351)","(3.4408407, -0.10496199, 0.04913504)","(0.0, 1.0, 0.0)","(2.5629997E-6, -0.10496169, 0.049135)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/armchair/models/model_normalized.obj-13","model_normalized.obj-13.png","(-0.8712809, -0.7308799, -0.63056517)","(0.87128603, 0.5209565, 0.7288351)","(2.4330418, -0.10496199, 2.4266632)","(0.0, 1.0, 0.0)","(2.5629997E-6, -0.10496169, 0.049135)",""
