"scene","image","bbmin","bbmax","camera.position","camera.up","camera.target","camera.direction"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bathtub/models/model_normalized.obj-0","model_normalized.obj-0.png","(-0.9579915, -0.7995209, -0.3706292)","(1.1064366, 0.5434508, 0.25079453)","(-3.714613, -0.12803507, -0.05991733)","(-0.0, 1.0, 0.0)","(0.074222565, -0.12803507, -0.05991733)","(1.0, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bathtub/models/model_normalized.obj-1","model_normalized.obj-1.png","(-0.9579915, -0.7995209, -0.3706292)","(1.1064366, 0.5434508, 0.25079453)","(3.863058, -0.12803507, -0.05991733)","(0.0, 1.0, 0.0)","(0.074222565, -0.12803507, -0.05991733)","(-1.0, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bathtub/models/model_normalized.obj-2","model_normalized.obj-2.png","(-0.9579915, -0.7995209, -0.3706292)","(1.1064366, 0.5434508, 0.25079453)","(0.074222565, -3.977648, -0.05991733)","(-1.0, 0.0, 0.0)","(0.074222565, -0.12803507, -0.05991733)","(0.0, 1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bathtub/models/model_normalized.obj-3","model_normalized.obj-3.png","(-0.9579915, -0.7995209, -0.3706292)","(1.1064366, 0.5434508, 0.25079453)","(0.074222565, 3.721578, -0.05991733)","(-1.0, 0.0, 0.0)","(0.074222565, -0.12803507, -0.05991733)","(0.0, -1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bathtub/models/model_normalized.obj-4","model_normalized.obj-4.png","(-0.9579915, -0.7995209, -0.3706292)","(1.1064366, 0.5434508, 0.25079453)","(0.074222565, -0.12803507, -3.5487561)","(0.0, 1.0, 0.0)","(0.074222565, -0.12803507, -0.05991733)","(0.0, 0.0, 1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bathtub/models/model_normalized.obj-5","model_normalized.obj-5.png","(-0.9579915, -0.7995209, -0.3706292)","(1.1064366, 0.5434508, 0.25079453)","(0.074222565, -0.12803507, 3.4289217)","(0.0, 1.0, 0.0)","(0.074222565, -0.12803507, -0.05991733)","(0.0, 0.0, -0.99999994)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bathtub/models/model_normalized.obj-6","model_normalized.obj-6.png","(-0.9579915, -0.7995209, -0.3706292)","(1.1064366, 0.5434508, 0.25079453)","(0.074222565, 2.5940523, -2.5268989)","(0.0, 1.0, 0.0)","(0.074222565, -0.12803507, -0.05991733)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bathtub/models/model_normalized.obj-7","model_normalized.obj-7.png","(-0.9579915, -0.7995209, -0.3706292)","(1.1064366, 0.5434508, 0.25079453)","(1.9686403, 2.5940523, -1.8043367)","(0.0, 1.0, 0.0)","(0.074222565, -0.12803507, -0.05991733)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bathtub/models/model_normalized.obj-8","model_normalized.obj-8.png","(-0.9579915, -0.7995209, -0.3706292)","(1.1064366, 0.5434508, 0.25079453)","(2.7533338, 2.5940523, -0.059917223)","(0.0, 1.0, 0.0)","(0.074222565, -0.12803507, -0.05991733)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bathtub/models/model_normalized.obj-9","model_normalized.obj-9.png","(-0.9579915, -0.7995209, -0.3706292)","(1.1064366, 0.5434508, 0.25079453)","(1.9686403, 2.5940523, 1.6845021)","(0.0, 1.0, 0.0)","(0.074222565, -0.12803507, -0.05991733)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bathtub/models/model_normalized.obj-10","model_normalized.obj-10.png","(-0.9579915, -0.7995209, -0.3706292)","(1.1064366, 0.5434508, 0.25079453)","(0.074222334, 2.5940523, 2.4070644)","(0.0, 1.0, 0.0)","(0.074222565, -0.12803507, -0.05991733)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bathtub/models/model_normalized.obj-11","model_normalized.obj-11.png","(-0.9579915, -0.7995209, -0.3706292)","(1.1064366, 0.5434508, 0.25079453)","(-1.8201954, 2.5940523, 1.6845018)","(0.0, 1.0, 0.0)","(0.074222565, -0.12803507, -0.05991733)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bathtub/models/model_normalized.obj-12","model_normalized.obj-12.png","(-0.9579915, -0.7995209, -0.3706292)","(1.1064366, 0.5434508, 0.25079453)","(-2.6048887, 2.5940523, -0.05991736)","(0.0, 1.0, 0.0)","(0.074222565, -0.12803507, -0.05991733)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bathtub/models/model_normalized.obj-13","model_normalized.obj-13.png","(-0.9579915, -0.7995209, -0.3706292)","(1.1064366, 0.5434508, 0.25079453)","(-1.8201945, 2.5940523, -1.8043374)","(0.0, 1.0, 0.0)","(0.074222565, -0.12803507, -0.05991733)",""
