"scene","image","bbmin","bbmax","camera.position","camera.up","camera.target","camera.direction"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/boat/models/model_normalized.obj-0","model_normalized.obj-0.png","(-0.16086075, -0.74472797, -0.32902408)","(0.19613627, 0.6300521, 1.76911)","(-3.3908772, -0.05733794, 0.72004294)","(-0.0, 1.0, 0.0)","(0.01763776, -0.05733794, 0.72004294)","(0.99999994, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/boat/models/model_normalized.obj-1","model_normalized.obj-1.png","(-0.16086075, -0.74472797, -0.32902408)","(0.19613627, 0.6300521, 1.76911)","(3.4261527, -0.05733794, 0.72004294)","(0.0, 1.0, 0.0)","(0.01763776, -0.05733794, 0.72004294)","(-0.99999994, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/boat/models/model_normalized.obj-2","model_normalized.obj-2.png","(-0.16086075, -0.74472797, -0.32902408)","(0.19613627, 0.6300521, 1.76911)","(0.01763776, -5.051417, 0.72004294)","(-1.0, 0.0, 0.0)","(0.01763776, -0.05733794, 0.72004294)","(0.0, 0.99999994, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/boat/models/model_normalized.obj-3","model_normalized.obj-3.png","(-0.16086075, -0.74472797, -0.32902408)","(0.19613627, 0.6300521, 1.76911)","(0.01763776, 4.936741, 0.72004294)","(-1.0, 0.0, 0.0)","(0.01763776, -0.05733794, 0.72004294)","(0.0, -1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/boat/models/model_normalized.obj-4","model_normalized.obj-4.png","(-0.16086075, -0.74472797, -0.32902408)","(0.19613627, 0.6300521, 1.76911)","(0.01763776, -0.05733794, -3.1509361)","(0.0, 1.0, 0.0)","(0.01763776, -0.05733794, 0.72004294)","(0.0, 0.0, 1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/boat/models/model_normalized.obj-5","model_normalized.obj-5.png","(-0.16086075, -0.74472797, -0.32902408)","(0.19613627, 0.6300521, 1.76911)","(0.01763776, -0.05733794, 4.591022)","(0.0, 1.0, 0.0)","(0.01763776, -0.05733794, 0.72004294)","(0.0, 0.0, -1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/boat/models/model_normalized.obj-6","model_normalized.obj-6.png","(-0.16086075, -0.74472797, -0.32902408)","(0.19613627, 0.6300521, 1.76911)","(0.01763776, 3.4740088, 3.4572384)","(0.0, 1.0, 0.0)","(0.01763776, -0.05733794, 0.72004294)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/boat/models/model_normalized.obj-7","model_normalized.obj-7.png","(-0.16086075, -0.74472797, -0.32902408)","(0.19613627, 0.6300521, 1.76911)","(-1.6866198, 3.4740088, 2.6555324)","(0.0, 1.0, 0.0)","(0.01763776, -0.05733794, 0.72004294)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/boat/models/model_normalized.obj-8","model_normalized.obj-8.png","(-0.16086075, -0.74472797, -0.32902408)","(0.19613627, 0.6300521, 1.76911)","(-2.3925464, 3.4740088, 0.7200428)","(0.0, 1.0, 0.0)","(0.01763776, -0.05733794, 0.72004294)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/boat/models/model_normalized.obj-9","model_normalized.obj-9.png","(-0.16086075, -0.74472797, -0.32902408)","(0.19613627, 0.6300521, 1.76911)","(-1.6866198, 3.4740088, -1.2154466)","(0.0, 1.0, 0.0)","(0.01763776, -0.05733794, 0.72004294)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/boat/models/model_normalized.obj-10","model_normalized.obj-10.png","(-0.16086075, -0.74472797, -0.32902408)","(0.19613627, 0.6300521, 1.76911)","(0.01763797, 3.4740088, -2.0171525)","(0.0, 1.0, 0.0)","(0.01763776, -0.05733794, 0.72004294)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/boat/models/model_normalized.obj-11","model_normalized.obj-11.png","(-0.16086075, -0.74472797, -0.32902408)","(0.19613627, 0.6300521, 1.76911)","(1.7218955, 3.4740088, -1.2154462)","(0.0, 1.0, 0.0)","(0.01763776, -0.05733794, 0.72004294)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/boat/models/model_normalized.obj-12","model_normalized.obj-12.png","(-0.16086075, -0.74472797, -0.32902408)","(0.19613627, 0.6300521, 1.76911)","(2.4278219, 3.4740088, 0.720043)","(0.0, 1.0, 0.0)","(0.01763776, -0.05733794, 0.72004294)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/boat/models/model_normalized.obj-13","model_normalized.obj-13.png","(-0.16086075, -0.74472797, -0.32902408)","(0.19613627, 0.6300521, 1.76911)","(1.7218946, 3.4740088, 2.655533)","(0.0, 1.0, 0.0)","(0.01763776, -0.05733794, 0.72004294)",""
