"scene","image","bbmin","bbmax","camera.position","camera.up","camera.target","camera.direction"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bowl/models/model_normalized.obj-0","model_normalized.obj-0.png","(-0.89260674, -0.89258903, -0.1257503)","(0.89260936, 0.8926144, 0.15291816)","(-4.5569654, 1.2695789E-5, 0.013583928)","(-0.0, 1.0, 0.0)","(1.3113022E-6, 1.2695789E-5, 0.013583928)","(1.0, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bowl/models/model_normalized.obj-1","model_normalized.obj-1.png","(-0.89260674, -0.89258903, -0.1257503)","(0.89260936, 0.8926144, 0.15291816)","(4.5569677, 1.2695789E-5, 0.013583928)","(0.0, 1.0, 0.0)","(1.3113022E-6, 1.2695789E-5, 0.013583928)","(-1.0, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bowl/models/model_normalized.obj-2","model_normalized.obj-2.png","(-0.89260674, -0.89258903, -0.1257503)","(0.89260936, 0.8926144, 0.15291816)","(1.3113022E-6, -3.6408775, 0.013583928)","(-1.0, 0.0, 0.0)","(1.3113022E-6, 1.2695789E-5, 0.013583928)","(0.0, 1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bowl/models/model_normalized.obj-3","model_normalized.obj-3.png","(-0.89260674, -0.89258903, -0.1257503)","(0.89260936, 0.8926144, 0.15291816)","(1.3113022E-6, 3.6409028, 0.013583928)","(-1.0, 0.0, 0.0)","(1.3113022E-6, 1.2695789E-5, 0.013583928)","(0.0, -1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bowl/models/model_normalized.obj-4","model_normalized.obj-4.png","(-0.89260674, -0.89258903, -0.1257503)","(0.89260936, 0.8926144, 0.15291816)","(1.3113022E-6, 1.2695789E-5, -3.790109)","(0.0, 1.0, 0.0)","(1.3113022E-6, 1.2695789E-5, 0.013583928)","(0.0, 0.0, 1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bowl/models/model_normalized.obj-5","model_normalized.obj-5.png","(-0.89260674, -0.89258903, -0.1257503)","(0.89260936, 0.8926144, 0.15291816)","(1.3113022E-6, 1.2695789E-5, 3.8172767)","(0.0, 1.0, 0.0)","(1.3113022E-6, 1.2695789E-5, 0.013583928)","(0.0, 0.0, -1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bowl/models/model_normalized.obj-6","model_normalized.obj-6.png","(-0.89260674, -0.89258903, -0.1257503)","(0.89260936, 0.8926144, 0.15291816)","(1.3113022E-6, 2.5745108, 2.7032008)","(0.0, 1.0, 0.0)","(1.3113022E-6, 1.2695789E-5, 0.013583928)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bowl/models/model_normalized.obj-7","model_normalized.obj-7.png","(-0.89260674, -0.89258903, -0.1257503)","(0.89260936, 0.8926144, 0.15291816)","(-2.278482, 2.5745108, 1.9154303)","(0.0, 1.0, 0.0)","(1.3113022E-6, 1.2695789E-5, 0.013583928)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bowl/models/model_normalized.obj-8","model_normalized.obj-8.png","(-0.89260674, -0.89258903, -0.1257503)","(0.89260936, 0.8926144, 0.15291816)","(-3.222261, 2.5745108, 0.013583811)","(0.0, 1.0, 0.0)","(1.3113022E-6, 1.2695789E-5, 0.013583928)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bowl/models/model_normalized.obj-9","model_normalized.obj-9.png","(-0.89260674, -0.89258903, -0.1257503)","(0.89260936, 0.8926144, 0.15291816)","(-2.278482, 2.5745108, -1.8882625)","(0.0, 1.0, 0.0)","(1.3113022E-6, 1.2695789E-5, 0.013583928)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bowl/models/model_normalized.obj-10","model_normalized.obj-10.png","(-0.89260674, -0.89258903, -0.1257503)","(0.89260936, 0.8926144, 0.15291816)","(1.5930013E-6, 2.5745108, -2.676033)","(0.0, 1.0, 0.0)","(1.3113022E-6, 1.2695789E-5, 0.013583928)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bowl/models/model_normalized.obj-11","model_normalized.obj-11.png","(-0.89260674, -0.89258903, -0.1257503)","(0.89260936, 0.8926144, 0.15291816)","(2.2784853, 2.5745108, -1.8882622)","(0.0, 1.0, 0.0)","(1.3113022E-6, 1.2695789E-5, 0.013583928)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bowl/models/model_normalized.obj-12","model_normalized.obj-12.png","(-0.89260674, -0.89258903, -0.1257503)","(0.89260936, 0.8926144, 0.15291816)","(3.2222633, 2.5745108, 0.01358396)","(0.0, 1.0, 0.0)","(1.3113022E-6, 1.2695789E-5, 0.013583928)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/bowl/models/model_normalized.obj-13","model_normalized.obj-13.png","(-0.89260674, -0.89258903, -0.1257503)","(0.89260936, 0.8926144, 0.15291816)","(2.2784839, 2.5745108, 1.9154309)","(0.0, 1.0, 0.0)","(1.3113022E-6, 1.2695789E-5, 0.013583928)",""
