"scene","image","bbmin","bbmax","camera.position","camera.up","camera.target","camera.direction"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/car/models/model_normalized.obj-0","model_normalized.obj-0.png","(-0.47398686, -1.1117122, -0.2412517)","(0.46261525, 1.1566398, 0.4136898)","(-5.1300697, 0.022463799, 0.08621904)","(-0.0, 1.0, 0.0)","(-0.0056858063, 0.022463799, 0.08621904)","(1.0, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/car/models/model_normalized.obj-1","model_normalized.obj-1.png","(-0.47398686, -1.1117122, -0.2412517)","(0.46261525, 1.1566398, 0.4136898)","(5.118698, 0.022463799, 0.08621904)","(0.0, 1.0, 0.0)","(-0.0056858063, 0.022463799, 0.08621904)","(-1.0, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/car/models/model_normalized.obj-2","model_normalized.obj-2.png","(-0.47398686, -1.1117122, -0.2412517)","(0.46261525, 1.1566398, 0.4136898)","(-0.0056858063, -2.553584, 0.08621904)","(-1.0, 0.0, 0.0)","(-0.0056858063, 0.022463799, 0.08621904)","(0.0, 1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/car/models/model_normalized.obj-3","model_normalized.obj-3.png","(-0.47398686, -1.1117122, -0.2412517)","(0.46261525, 1.1566398, 0.4136898)","(-0.0056858063, 2.5985117, 0.08621904)","(-1.0, 0.0, 0.0)","(-0.0056858063, 0.022463799, 0.08621904)","(0.0, -1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/car/models/model_normalized.obj-4","model_normalized.obj-4.png","(-0.47398686, -1.1117122, -0.2412517)","(0.46261525, 1.1566398, 0.4136898)","(-0.0056858063, 0.022463799, -4.897335)","(0.0, 1.0, 0.0)","(-0.0056858063, 0.022463799, 0.08621904)","(0.0, 0.0, 1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/car/models/model_normalized.obj-5","model_normalized.obj-5.png","(-0.47398686, -1.1117122, -0.2412517)","(0.46261525, 1.1566398, 0.4136898)","(-0.0056858063, 0.022463799, 5.0697727)","(0.0, 1.0, 0.0)","(-0.0056858063, 0.022463799, 0.08621904)","(0.0, 0.0, -1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/car/models/model_normalized.obj-6","model_normalized.obj-6.png","(-0.47398686, -1.1117122, -0.2412517)","(0.46261525, 1.1566398, 0.4136898)","(-0.0056858063, 0.022463573, 5.0697727)","(0.0, 1.0, 0.0)","(-0.0056858063, 0.022463799, 0.08621904)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/car/models/model_normalized.obj-7","model_normalized.obj-7.png","(-0.47398686, -1.1117122, -0.2412517)","(0.46261525, 1.1566398, 0.4136898)","(-3.6291726, 0.022463573, 3.6101236)","(0.0, 1.0, 0.0)","(-0.0056858063, 0.022463799, 0.08621904)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/car/models/model_normalized.obj-8","model_normalized.obj-8.png","(-0.47398686, -1.1117122, -0.2412517)","(0.46261525, 1.1566398, 0.4136898)","(-5.1300697, 0.022463573, 0.08621883)","(0.0, 1.0, 0.0)","(-0.0056858063, 0.022463799, 0.08621904)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/car/models/model_normalized.obj-9","model_normalized.obj-9.png","(-0.47398686, -1.1117122, -0.2412517)","(0.46261525, 1.1566398, 0.4136898)","(-3.6291723, 0.022463573, -3.4376857)","(0.0, 1.0, 0.0)","(-0.0056858063, 0.022463799, 0.08621904)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/car/models/model_normalized.obj-10","model_normalized.obj-10.png","(-0.47398686, -1.1117122, -0.2412517)","(0.46261525, 1.1566398, 0.4136898)","(-0.0056853583, 0.022463573, -4.897335)","(0.0, 1.0, 0.0)","(-0.0056858063, 0.022463799, 0.08621904)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/car/models/model_normalized.obj-11","model_normalized.obj-11.png","(-0.47398686, -1.1117122, -0.2412517)","(0.46261525, 1.1566398, 0.4136898)","(3.6178014, 0.022463573, -3.437685)","(0.0, 1.0, 0.0)","(-0.0056858063, 0.022463799, 0.08621904)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/car/models/model_normalized.obj-12","model_normalized.obj-12.png","(-0.47398686, -1.1117122, -0.2412517)","(0.46261525, 1.1566398, 0.4136898)","(5.118698, 0.022463573, 0.0862191)","(0.0, 1.0, 0.0)","(-0.0056858063, 0.022463799, 0.08621904)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/car/models/model_normalized.obj-13","model_normalized.obj-13.png","(-0.47398686, -1.1117122, -0.2412517)","(0.46261525, 1.1566398, 0.4136898)","(3.6177995, 0.022463573, 3.610125)","(0.0, 1.0, 0.0)","(-0.0056858063, 0.022463799, 0.08621904)",""
