"scene","image","bbmin","bbmax","camera.position","camera.up","camera.target","camera.direction"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chair/models/model_normalized.obj-0","model_normalized.obj-0.png","(-0.48000666, -0.82703924, -1.1576889)","(0.48000666, 0.269969, 0.92234516)","(-3.6821587, -0.27853513, -0.11767185)","(-0.0, 1.0, 0.0)","(0.0, -0.27853513, -0.11767185)","(1.0, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chair/models/model_normalized.obj-1","model_normalized.obj-1.png","(-0.48000666, -0.82703924, -1.1576889)","(0.48000666, 0.269969, 0.92234516)","(3.6821587, -0.27853513, -0.11767185)","(0.0, 1.0, 0.0)","(0.0, -0.27853513, -0.11767185)","(-1.0, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chair/models/model_normalized.obj-2","model_normalized.obj-2.png","(-0.48000666, -0.82703924, -1.1576889)","(0.48000666, 0.269969, 0.92234516)","(0.0, -5.0965753, -0.11767185)","(-1.0, 0.0, 0.0)","(0.0, -0.27853513, -0.11767185)","(0.0, 1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chair/models/model_normalized.obj-3","model_normalized.obj-3.png","(-0.48000666, -0.82703924, -1.1576889)","(0.48000666, 0.269969, 0.92234516)","(0.0, 4.539505, -0.11767185)","(-1.0, 0.0, 0.0)","(0.0, -0.27853513, -0.11767185)","(0.0, -1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chair/models/model_normalized.obj-4","model_normalized.obj-4.png","(-0.48000666, -0.82703924, -1.1576889)","(0.48000666, 0.269969, 0.92234516)","(0.0, -0.27853513, -3.4094386)","(0.0, 1.0, 0.0)","(0.0, -0.27853513, -0.11767185)","(0.0, 0.0, 1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chair/models/model_normalized.obj-5","model_normalized.obj-5.png","(-0.48000666, -0.82703924, -1.1576889)","(0.48000666, 0.269969, 0.92234516)","(0.0, -0.27853513, 3.174095)","(0.0, 1.0, 0.0)","(0.0, -0.27853513, -0.11767185)","(0.0, 0.0, -1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chair/models/model_normalized.obj-6","model_normalized.obj-6.png","(-0.48000666, -0.82703924, -1.1576889)","(0.48000666, 0.269969, 0.92234516)","(0.0, -4.2252426, 1.7704076)","(0.0, 1.0, 0.0)","(0.0, -0.27853513, -0.11767185)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chair/models/model_normalized.obj-7","model_normalized.obj-7.png","(-0.48000666, -0.82703924, -1.1576889)","(0.48000666, 0.269969, 0.92234516)","(-1.4934089, -4.2252426, 1.2174019)","(0.0, 1.0, 0.0)","(0.0, -0.27853513, -0.11767185)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chair/models/model_normalized.obj-8","model_normalized.obj-8.png","(-0.48000666, -0.82703924, -1.1576889)","(0.48000666, 0.269969, 0.92234516)","(-2.111999, -4.2252426, -0.11767193)","(0.0, 1.0, 0.0)","(0.0, -0.27853513, -0.11767185)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chair/models/model_normalized.obj-9","model_normalized.obj-9.png","(-0.48000666, -0.82703924, -1.1576889)","(0.48000666, 0.269969, 0.92234516)","(-1.4934088, -4.2252426, -1.4527456)","(0.0, 1.0, 0.0)","(0.0, -0.27853513, -0.11767185)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chair/models/model_normalized.obj-10","model_normalized.obj-10.png","(-0.48000666, -0.82703924, -1.1576889)","(0.48000666, 0.269969, 0.92234516)","(1.8463683E-7, -4.2252426, -2.0057511)","(0.0, 1.0, 0.0)","(0.0, -0.27853513, -0.11767185)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chair/models/model_normalized.obj-11","model_normalized.obj-11.png","(-0.48000666, -0.82703924, -1.1576889)","(0.48000666, 0.269969, 0.92234516)","(1.4934092, -4.2252426, -1.4527454)","(0.0, 1.0, 0.0)","(0.0, -0.27853513, -0.11767185)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chair/models/model_normalized.obj-12","model_normalized.obj-12.png","(-0.48000666, -0.82703924, -1.1576889)","(0.48000666, 0.269969, 0.92234516)","(2.111999, -4.2252426, -0.117671825)","(0.0, 1.0, 0.0)","(0.0, -0.27853513, -0.11767185)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chair/models/model_normalized.obj-13","model_normalized.obj-13.png","(-0.48000666, -0.82703924, -1.1576889)","(0.48000666, 0.269969, 0.92234516)","(1.4934083, -4.2252426, 1.2174023)","(0.0, 1.0, 0.0)","(0.0, -0.27853513, -0.11767185)",""
