"scene","image","bbmin","bbmax","camera.position","camera.up","camera.target","camera.direction"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chandelier/models/model_normalized.obj-0","model_normalized.obj-0.png","(-0.70203817, -0.80028033, -0.44291258)","(0.70482206, 0.80036664, 0.9392133)","(-3.9875712, 4.3153763E-5, 0.24815035)","(-0.0, 1.0, 0.0)","(0.0013919473, 4.3153763E-5, 0.24815035)","(1.0, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chandelier/models/model_normalized.obj-1","model_normalized.obj-1.png","(-0.70203817, -0.80028033, -0.44291258)","(0.70482206, 0.80036664, 0.9392133)","(3.990355, 4.3153763E-5, 0.24815035)","(0.0, 1.0, 0.0)","(0.0013919473, 4.3153763E-5, 0.24815035)","(-1.0, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chandelier/models/model_normalized.obj-2","model_normalized.obj-2.png","(-0.70203817, -0.80028033, -0.44291258)","(0.70482206, 0.80036664, 0.9392133)","(0.0013919473, -3.6372707, 0.24815035)","(-1.0, 0.0, 0.0)","(0.0013919473, 4.3153763E-5, 0.24815035)","(0.0, 1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chandelier/models/model_normalized.obj-3","model_normalized.obj-3.png","(-0.70203817, -0.80028033, -0.44291258)","(0.70482206, 0.80036664, 0.9392133)","(0.0013919473, 3.637357, 0.24815035)","(-1.0, 0.0, 0.0)","(0.0013919473, 4.3153763E-5, 0.24815035)","(0.0, -1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chandelier/models/model_normalized.obj-4","model_normalized.obj-4.png","(-0.70203817, -0.80028033, -0.44291258)","(0.70482206, 0.80036664, 0.9392133)","(0.0013919473, 4.3153763E-5, -3.7284455)","(0.0, 1.0, 0.0)","(0.0013919473, 4.3153763E-5, 0.24815035)","(0.0, 0.0, 1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chandelier/models/model_normalized.obj-5","model_normalized.obj-5.png","(-0.70203817, -0.80028033, -0.44291258)","(0.70482206, 0.80036664, 0.9392133)","(0.0013919473, 4.3153763E-5, 4.224746)","(0.0, 1.0, 0.0)","(0.0013919473, 4.3153763E-5, 0.24815035)","(0.0, 0.0, -1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chandelier/models/model_normalized.obj-6","model_normalized.obj-6.png","(-0.70203817, -0.80028033, -0.44291258)","(0.70482206, 0.80036664, 0.9392133)","(0.0013919473, 4.3153763E-5, -3.7284455)","(0.0, 1.0, 0.0)","(0.0013919473, 4.3153763E-5, 0.24815035)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chandelier/models/model_normalized.obj-7","model_normalized.obj-7.png","(-0.70203817, -0.80028033, -0.44291258)","(0.70482206, 0.80036664, 0.9392133)","(2.8220148, 4.3153763E-5, -2.5637276)","(0.0, 1.0, 0.0)","(0.0013919473, 4.3153763E-5, 0.24815035)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chandelier/models/model_normalized.obj-8","model_normalized.obj-8.png","(-0.70203817, -0.80028033, -0.44291258)","(0.70482206, 0.80036664, 0.9392133)","(3.990355, 4.3153763E-5, 0.24815053)","(0.0, 1.0, 0.0)","(0.0013919473, 4.3153763E-5, 0.24815035)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chandelier/models/model_normalized.obj-9","model_normalized.obj-9.png","(-0.70203817, -0.80028033, -0.44291258)","(0.70482206, 0.80036664, 0.9392133)","(2.8220148, 4.3153763E-5, 3.0600283)","(0.0, 1.0, 0.0)","(0.0013919473, 4.3153763E-5, 0.24815035)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chandelier/models/model_normalized.obj-10","model_normalized.obj-10.png","(-0.70203817, -0.80028033, -0.44291258)","(0.70482206, 0.80036664, 0.9392133)","(0.0013915985, 4.3153763E-5, 4.224746)","(0.0, 1.0, 0.0)","(0.0013919473, 4.3153763E-5, 0.24815035)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chandelier/models/model_normalized.obj-11","model_normalized.obj-11.png","(-0.70203817, -0.80028033, -0.44291258)","(0.70482206, 0.80036664, 0.9392133)","(-2.8192315, 4.3153763E-5, 3.0600278)","(0.0, 1.0, 0.0)","(0.0013919473, 4.3153763E-5, 0.24815035)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chandelier/models/model_normalized.obj-12","model_normalized.obj-12.png","(-0.70203817, -0.80028033, -0.44291258)","(0.70482206, 0.80036664, 0.9392133)","(-3.9875712, 4.3153763E-5, 0.2481503)","(0.0, 1.0, 0.0)","(0.0013919473, 4.3153763E-5, 0.24815035)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/chandelier/models/model_normalized.obj-13","model_normalized.obj-13.png","(-0.70203817, -0.80028033, -0.44291258)","(0.70482206, 0.80036664, 0.9392133)","(-2.81923, 4.3153763E-5, -2.5637286)","(0.0, 1.0, 0.0)","(0.0013919473, 4.3153763E-5, 0.24815035)",""
