"scene","image","bbmin","bbmax","camera.position","camera.up","camera.target","camera.direction"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/guitar/models/model_normalized.obj-0","model_normalized.obj-0.png","(-0.3893261, -0.06354572, -1.0215676)","(0.37789357, 0.104693726, 1.3939366)","(-4.1079245, 0.020574003, 0.18618453)","(-0.0, 1.0, 0.0)","(-0.0057162642, 0.020574003, 0.18618453)","(1.0, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/guitar/models/model_normalized.obj-1","model_normalized.obj-1.png","(-0.3893261, -0.06354572, -1.0215676)","(0.37789357, 0.104693726, 1.3939366)","(4.0964923, 0.020574003, 0.18618453)","(0.0, 1.0, 0.0)","(-0.0057162642, 0.020574003, 0.18618453)","(-1.0, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/guitar/models/model_normalized.obj-2","model_normalized.obj-2.png","(-0.3893261, -0.06354572, -1.0215676)","(0.37789357, 0.104693726, 1.3939366)","(-0.0057162642, -5.0216775, 0.18618453)","(-1.0, 0.0, 0.0)","(-0.0057162642, 0.020574003, 0.18618453)","(0.0, 1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/guitar/models/model_normalized.obj-3","model_normalized.obj-3.png","(-0.3893261, -0.06354572, -1.0215676)","(0.37789357, 0.104693726, 1.3939366)","(-0.0057162642, 5.0628257, 0.18618453)","(-1.0, 0.0, 0.0)","(-0.0057162642, 0.020574003, 0.18618453)","(0.0, -1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/guitar/models/model_normalized.obj-4","model_normalized.obj-4.png","(-0.3893261, -0.06354572, -1.0215676)","(0.37789357, 0.104693726, 1.3939366)","(-0.0057162642, 0.020574003, -2.20268)","(0.0, 1.0, 0.0)","(-0.0057162642, 0.020574003, 0.18618453)","(0.0, 0.0, 1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/guitar/models/model_normalized.obj-5","model_normalized.obj-5.png","(-0.3893261, -0.06354572, -1.0215676)","(0.37789357, 0.104693726, 1.3939366)","(-0.0057162642, 0.020574003, 2.575049)","(0.0, 1.0, 0.0)","(-0.0057162642, 0.020574003, 0.18618453)","(0.0, 0.0, -1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/guitar/models/model_normalized.obj-6","model_normalized.obj-6.png","(-0.3893261, -0.06354572, -1.0215676)","(0.37789357, 0.104693726, 1.3939366)","(-0.0057162642, -3.5448368, -1.5029975)","(0.0, 1.0, 0.0)","(-0.0057162642, 0.020574003, 0.18618453)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/guitar/models/model_normalized.obj-7","model_normalized.obj-7.png","(-0.3893261, -0.06354572, -1.0215676)","(0.37789357, 0.104693726, 1.3939366)","(2.0453877, -3.5448368, -1.0082475)","(0.0, 1.0, 0.0)","(-0.0057162642, 0.020574003, 0.18618453)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/guitar/models/model_normalized.obj-8","model_normalized.obj-8.png","(-0.3893261, -0.06354572, -1.0215676)","(0.37789357, 0.104693726, 1.3939366)","(2.8949828, -3.5448368, 0.1861846)","(0.0, 1.0, 0.0)","(-0.0057162642, 0.020574003, 0.18618453)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/guitar/models/model_normalized.obj-9","model_normalized.obj-9.png","(-0.3893261, -0.06354572, -1.0215676)","(0.37789357, 0.104693726, 1.3939366)","(2.0453877, -3.5448368, 1.3806167)","(0.0, 1.0, 0.0)","(-0.0057162642, 0.020574003, 0.18618453)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/guitar/models/model_normalized.obj-10","model_normalized.obj-10.png","(-0.3893261, -0.06354572, -1.0215676)","(0.37789357, 0.104693726, 1.3939366)","(-0.005716518, -3.5448368, 1.8753666)","(0.0, 1.0, 0.0)","(-0.0057162642, 0.020574003, 0.18618453)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/guitar/models/model_normalized.obj-11","model_normalized.obj-11.png","(-0.3893261, -0.06354572, -1.0215676)","(0.37789357, 0.104693726, 1.3939366)","(-2.0568206, -3.5448368, 1.3806164)","(0.0, 1.0, 0.0)","(-0.0057162642, 0.020574003, 0.18618453)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/guitar/models/model_normalized.obj-12","model_normalized.obj-12.png","(-0.3893261, -0.06354572, -1.0215676)","(0.37789357, 0.104693726, 1.3939366)","(-2.9064155, -3.5448368, 0.18618451)","(0.0, 1.0, 0.0)","(-0.0057162642, 0.020574003, 0.18618453)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/guitar/models/model_normalized.obj-13","model_normalized.obj-13.png","(-0.3893261, -0.06354572, -1.0215676)","(0.37789357, 0.104693726, 1.3939366)","(-2.0568197, -3.5448368, -1.008248)","(0.0, 1.0, 0.0)","(-0.0057162642, 0.020574003, 0.18618453)",""
