"scene","image","bbmin","bbmax","camera.position","camera.up","camera.target","camera.direction"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/lamp/models/model_normalized.obj-0","model_normalized.obj-0.png","(-0.21800058, -0.7697191, -1.4756637)","(0.21743162, 0.8428253, 0.43789345)","(-3.5279546, 0.036553085, -0.51888514)","(-0.0, 1.0, 0.0)","(-2.8447807E-4, 0.036553085, -0.51888514)","(1.0, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/lamp/models/model_normalized.obj-1","model_normalized.obj-1.png","(-0.21800058, -0.7697191, -1.4756637)","(0.21743162, 0.8428253, 0.43789345)","(3.5273855, 0.036553085, -0.51888514)","(0.0, 1.0, 0.0)","(-2.8447807E-4, 0.036553085, -0.51888514)","(-0.99999994, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/lamp/models/model_normalized.obj-2","model_normalized.obj-2.png","(-0.21800058, -0.7697191, -1.4756637)","(0.21743162, 0.8428253, 0.43789345)","(-2.8447807E-4, -4.6975403, -0.51888514)","(-1.0, 0.0, 0.0)","(-2.8447807E-4, 0.036553085, -0.51888514)","(0.0, 1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/lamp/models/model_normalized.obj-3","model_normalized.obj-3.png","(-0.21800058, -0.7697191, -1.4756637)","(0.21743162, 0.8428253, 0.43789345)","(-2.8447807E-4, 4.7706466, -0.51888514)","(-1.0, 0.0, 0.0)","(-2.8447807E-4, 0.036553085, -0.51888514)","(0.0, -1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/lamp/models/model_normalized.obj-4","model_normalized.obj-4.png","(-0.21800058, -0.7697191, -1.4756637)","(0.21743162, 0.8428253, 0.43789345)","(-2.8447807E-4, 0.036553085, -4.785618)","(0.0, 1.0, 0.0)","(-2.8447807E-4, 0.036553085, -0.51888514)","(0.0, 0.0, 1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/lamp/models/model_normalized.obj-5","model_normalized.obj-5.png","(-0.21800058, -0.7697191, -1.4756637)","(0.21743162, 0.8428253, 0.43789345)","(-2.8447807E-4, 0.036553085, 3.7478473)","(0.0, 1.0, 0.0)","(-2.8447807E-4, 0.036553085, -0.51888514)","(0.0, 0.0, -1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/lamp/models/model_normalized.obj-6","model_normalized.obj-6.png","(-0.21800058, -0.7697191, -1.4756637)","(0.21743162, 0.8428253, 0.43789345)","(-2.8447807E-4, -3.3109567, -3.5359204)","(0.0, 1.0, 0.0)","(-2.8447807E-4, 0.036553085, -0.51888514)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/lamp/models/model_normalized.obj-7","model_normalized.obj-7.png","(-0.21800058, -0.7697191, -1.4756637)","(0.21743162, 0.8428253, 0.43789345)","(1.7635503, -3.3109567, -2.6522512)","(0.0, 1.0, 0.0)","(-2.8447807E-4, 0.036553085, -0.51888514)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/lamp/models/model_normalized.obj-8","model_normalized.obj-8.png","(-0.21800058, -0.7697191, -1.4756637)","(0.21743162, 0.8428253, 0.43789345)","(2.4941545, -3.3109567, -0.518885)","(0.0, 1.0, 0.0)","(-2.8447807E-4, 0.036553085, -0.51888514)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/lamp/models/model_normalized.obj-9","model_normalized.obj-9.png","(-0.21800058, -0.7697191, -1.4756637)","(0.21743162, 0.8428253, 0.43789345)","(1.7635503, -3.3109567, 1.614481)","(0.0, 1.0, 0.0)","(-2.8447807E-4, 0.036553085, -0.51888514)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/lamp/models/model_normalized.obj-10","model_normalized.obj-10.png","(-0.21800058, -0.7697191, -1.4756637)","(0.21743162, 0.8428253, 0.43789345)","(-2.8469614E-4, -3.3109567, 2.49815)","(0.0, 1.0, 0.0)","(-2.8447807E-4, 0.036553085, -0.51888514)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/lamp/models/model_normalized.obj-11","model_normalized.obj-11.png","(-0.21800058, -0.7697191, -1.4756637)","(0.21743162, 0.8428253, 0.43789345)","(-1.7641194, -3.3109567, 1.6144805)","(0.0, 1.0, 0.0)","(-2.8447807E-4, 0.036553085, -0.51888514)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/lamp/models/model_normalized.obj-12","model_normalized.obj-12.png","(-0.21800058, -0.7697191, -1.4756637)","(0.21743162, 0.8428253, 0.43789345)","(-2.4947233, -3.3109567, -0.5188852)","(0.0, 1.0, 0.0)","(-2.8447807E-4, 0.036553085, -0.51888514)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/lamp/models/model_normalized.obj-13","model_normalized.obj-13.png","(-0.21800058, -0.7697191, -1.4756637)","(0.21743162, 0.8428253, 0.43789345)","(-1.7641186, -3.3109567, -2.652252)","(0.0, 1.0, 0.0)","(-2.8447807E-4, 0.036553085, -0.51888514)",""
