"scene","image","bbmin","bbmax","camera.position","camera.up","camera.target","camera.direction"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/sectional/models/model_normalized.obj-0","model_normalized.obj-0.png","(-0.8189646, -0.9020251, -0.21855426)","(1.1903049, 0.44323504, 0.55907434)","(-3.5802832, -0.22939503, 0.17026004)","(-0.0, 1.0, 0.0)","(0.18567014, -0.22939503, 0.17026004)","(1.0, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/sectional/models/model_normalized.obj-1","model_normalized.obj-1.png","(-0.8189646, -0.9020251, -0.21855426)","(1.1903049, 0.44323504, 0.55907434)","(3.9516234, -0.22939503, 0.17026004)","(0.0, 1.0, 0.0)","(0.18567014, -0.22939503, 0.17026004)","(-1.0, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/sectional/models/model_normalized.obj-2","model_normalized.obj-2.png","(-0.8189646, -0.9020251, -0.21855426)","(1.1903049, 0.44323504, 0.55907434)","(0.18567014, -3.9952374, 0.17026004)","(-1.0, 0.0, 0.0)","(0.18567014, -0.22939503, 0.17026004)","(0.0, 1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/sectional/models/model_normalized.obj-3","model_normalized.obj-3.png","(-0.8189646, -0.9020251, -0.21855426)","(1.1903049, 0.44323504, 0.55907434)","(0.18567014, 3.536447, 0.17026004)","(-1.0, 0.0, 0.0)","(0.18567014, -0.22939503, 0.17026004)","(0.0, -1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/sectional/models/model_normalized.obj-4","model_normalized.obj-4.png","(-0.8189646, -0.9020251, -0.21855426)","(1.1903049, 0.44323504, 0.55907434)","(0.18567014, -0.22939503, -3.3117664)","(0.0, 1.0, 0.0)","(0.18567014, -0.22939503, 0.17026004)","(0.0, 0.0, 1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/sectional/models/model_normalized.obj-5","model_normalized.obj-5.png","(-0.8189646, -0.9020251, -0.21855426)","(1.1903049, 0.44323504, 0.55907434)","(0.18567014, -0.22939503, 3.6522865)","(0.0, 1.0, 0.0)","(0.18567014, -0.22939503, 0.17026004)","(0.0, 0.0, -0.99999994)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/sectional/models/model_normalized.obj-6","model_normalized.obj-6.png","(-0.8189646, -0.9020251, -0.21855426)","(1.1903049, 0.44323504, 0.55907434)","(0.18567014, -0.22939536, 3.6522863)","(0.0, 1.0, 0.0)","(0.18567014, -0.22939503, 0.17026004)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/sectional/models/model_normalized.obj-7","model_normalized.obj-7.png","(-0.8189646, -0.9020251, -0.21855426)","(1.1903049, 0.44323504, 0.55907434)","(-2.4772613, -0.22939536, 2.6324244)","(0.0, 1.0, 0.0)","(0.18567014, -0.22939503, 0.17026004)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/sectional/models/model_normalized.obj-8","model_normalized.obj-8.png","(-0.8189646, -0.9020251, -0.21855426)","(1.1903049, 0.44323504, 0.55907434)","(-3.5802834, -0.22939536, 0.1702599)","(0.0, 1.0, 0.0)","(0.18567014, -0.22939503, 0.17026004)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/sectional/models/model_normalized.obj-9","model_normalized.obj-9.png","(-0.8189646, -0.9020251, -0.21855426)","(1.1903049, 0.44323504, 0.55907434)","(-2.477261, -0.22939536, -2.2919044)","(0.0, 1.0, 0.0)","(0.18567014, -0.22939503, 0.17026004)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/sectional/models/model_normalized.obj-10","model_normalized.obj-10.png","(-0.8189646, -0.9020251, -0.21855426)","(1.1903049, 0.44323504, 0.55907434)","(0.18567047, -0.22939536, -3.3117664)","(0.0, 1.0, 0.0)","(0.18567014, -0.22939503, 0.17026004)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/sectional/models/model_normalized.obj-11","model_normalized.obj-11.png","(-0.8189646, -0.9020251, -0.21855426)","(1.1903049, 0.44323504, 0.55907434)","(2.8486018, -0.22939536, -2.291904)","(0.0, 1.0, 0.0)","(0.18567014, -0.22939503, 0.17026004)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/sectional/models/model_normalized.obj-12","model_normalized.obj-12.png","(-0.8189646, -0.9020251, -0.21855426)","(1.1903049, 0.44323504, 0.55907434)","(3.9516237, -0.22939536, 0.17026009)","(0.0, 1.0, 0.0)","(0.18567014, -0.22939503, 0.17026004)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/sectional/models/model_normalized.obj-13","model_normalized.obj-13.png","(-0.8189646, -0.9020251, -0.21855426)","(1.1903049, 0.44323504, 0.55907434)","(2.8486006, -0.22939536, 2.6324253)","(0.0, 1.0, 0.0)","(0.18567014, -0.22939503, 0.17026004)",""
