"scene","image","bbmin","bbmax","camera.position","camera.up","camera.target","camera.direction"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/table/models/model_normalized.obj-0","model_normalized.obj-0.png","(-0.9964445, -0.61049914, -0.45168817)","(0.9964445, 0.61049664, 0.5428793)","(-3.5026946, -1.2516975E-6, 0.045595556)","(-0.0, 1.0, 0.0)","(0.0, -1.2516975E-6, 0.045595556)","(0.99999994, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/table/models/model_normalized.obj-1","model_normalized.obj-1.png","(-0.9964445, -0.61049914, -0.45168817)","(0.9964445, 0.61049664, 0.5428793)","(3.5026946, -1.2516975E-6, 0.045595556)","(0.0, 1.0, 0.0)","(0.0, -1.2516975E-6, 0.045595556)","(-0.99999994, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/table/models/model_normalized.obj-2","model_normalized.obj-2.png","(-0.9964445, -0.61049914, -0.45168817)","(0.9964445, 0.61049664, 0.5428793)","(0.0, -3.678494, 0.045595556)","(-1.0, 0.0, 0.0)","(0.0, -1.2516975E-6, 0.045595556)","(0.0, 1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/table/models/model_normalized.obj-3","model_normalized.obj-3.png","(-0.9964445, -0.61049914, -0.45168817)","(0.9964445, 0.61049664, 0.5428793)","(0.0, 3.6784916, 0.045595556)","(-1.0, 0.0, 0.0)","(0.0, -1.2516975E-6, 0.045595556)","(0.0, -1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/table/models/model_normalized.obj-4","model_normalized.obj-4.png","(-0.9964445, -0.61049914, -0.45168817)","(0.9964445, 0.61049664, 0.5428793)","(0.0, -1.2516975E-6, -3.519683)","(0.0, 1.0, 0.0)","(0.0, -1.2516975E-6, 0.045595556)","(0.0, 0.0, 1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/table/models/model_normalized.obj-5","model_normalized.obj-5.png","(-0.9964445, -0.61049914, -0.45168817)","(0.9964445, 0.61049664, 0.5428793)","(0.0, -1.2516975E-6, 3.6108742)","(0.0, 1.0, 0.0)","(0.0, -1.2516975E-6, 0.045595556)","(0.0, 0.0, -1.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/table/models/model_normalized.obj-6","model_normalized.obj-6.png","(-0.9964445, -0.61049914, -0.45168817)","(0.9964445, 0.61049664, 0.5428793)","(0.0, -1.5732816E-6, 3.6108742)","(0.0, 1.0, 0.0)","(0.0, -1.2516975E-6, 0.045595556)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/table/models/model_normalized.obj-7","model_normalized.obj-7.png","(-0.9964445, -0.61049914, -0.45168817)","(0.9964445, 0.61049664, 0.5428793)","(-2.4767792, -1.5732816E-6, 2.5666282)","(0.0, 1.0, 0.0)","(0.0, -1.2516975E-6, 0.045595556)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/table/models/model_normalized.obj-8","model_normalized.obj-8.png","(-0.9964445, -0.61049914, -0.45168817)","(0.9964445, 0.61049664, 0.5428793)","(-3.5026946, -1.5732816E-6, 0.0455954)","(0.0, 1.0, 0.0)","(0.0, -1.2516975E-6, 0.045595556)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/table/models/model_normalized.obj-9","model_normalized.obj-9.png","(-0.9964445, -0.61049914, -0.45168817)","(0.9964445, 0.61049664, 0.5428793)","(-2.476779, -1.5732816E-6, -2.475437)","(0.0, 1.0, 0.0)","(0.0, -1.2516975E-6, 0.045595556)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/table/models/model_normalized.obj-10","model_normalized.obj-10.png","(-0.9964445, -0.61049914, -0.45168817)","(0.9964445, 0.61049664, 0.5428793)","(3.062153E-7, -1.5732816E-6, -3.519683)","(0.0, 1.0, 0.0)","(0.0, -1.2516975E-6, 0.045595556)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/table/models/model_normalized.obj-11","model_normalized.obj-11.png","(-0.9964445, -0.61049914, -0.45168817)","(0.9964445, 0.61049664, 0.5428793)","(2.4767795, -1.5732816E-6, -2.4754364)","(0.0, 1.0, 0.0)","(0.0, -1.2516975E-6, 0.045595556)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/table/models/model_normalized.obj-12","model_normalized.obj-12.png","(-0.9964445, -0.61049914, -0.45168817)","(0.9964445, 0.61049664, 0.5428793)","(3.5026946, -1.5732816E-6, 0.045595597)","(0.0, 1.0, 0.0)","(0.0, -1.2516975E-6, 0.045595556)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/table/models/model_normalized.obj-13","model_normalized.obj-13.png","(-0.9964445, -0.61049914, -0.45168817)","(0.9964445, 0.61049664, 0.5428793)","(2.4767783, -1.5732816E-6, 2.5666292)","(0.0, 1.0, 0.0)","(0.0, -1.2516975E-6, 0.045595556)",""
