"scene","image","bbmin","bbmax","camera.position","camera.up","camera.target","camera.direction"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/urn/models/model_normalized.obj-0","model_normalized.obj-0.png","(-0.70465183, -0.6835191, -0.9863633)","(0.7104989, 0.6826453, 0.62066925)","(-3.5088792, -4.3690205E-4, -0.18284702)","(-0.0, 1.0, 0.0)","(0.0029235482, -4.3690205E-4, -0.18284702)","(1.0, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/urn/models/model_normalized.obj-1","model_normalized.obj-1.png","(-0.70465183, -0.6835191, -0.9863633)","(0.7104989, 0.6826453, 0.62066925)","(3.5147262, -4.3690205E-4, -0.18284702)","(0.0, 1.0, 0.0)","(0.0029235482, -4.3690205E-4, -0.18284702)","(-1.0, 0.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/urn/models/model_normalized.obj-2","model_normalized.obj-2.png","(-0.70465183, -0.6835191, -0.9863633)","(0.7104989, 0.6826453, 0.62066925)","(0.0029235482, -3.9821591, -0.18284702)","(-1.0, 0.0, 0.0)","(0.0029235482, -4.3690205E-4, -0.18284702)","(0.0, 1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/urn/models/model_normalized.obj-3","model_normalized.obj-3.png","(-0.70465183, -0.6835191, -0.9863633)","(0.7104989, 0.6826453, 0.62066925)","(0.0029235482, 3.9812853, -0.18284702)","(-1.0, 0.0, 0.0)","(0.0029235482, -4.3690205E-4, -0.18284702)","(0.0, -1.0, 0.0)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/urn/models/model_normalized.obj-4","model_normalized.obj-4.png","(-0.70465183, -0.6835191, -0.9863633)","(0.7104989, 0.6826453, 0.62066925)","(0.0029235482, -4.3690205E-4, -3.7905908)","(0.0, 1.0, 0.0)","(0.0029235482, -4.3690205E-4, -0.18284702)","(0.0, 0.0, 0.99999994)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/urn/models/model_normalized.obj-5","model_normalized.obj-5.png","(-0.70465183, -0.6835191, -0.9863633)","(0.7104989, 0.6826453, 0.62066925)","(0.0029235482, -4.3690205E-4, 3.4248967)","(0.0, 1.0, 0.0)","(0.0029235482, -4.3690205E-4, -0.18284702)","(0.0, 0.0, -0.99999994)"
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/urn/models/model_normalized.obj-6","model_normalized.obj-6.png","(-0.70465183, -0.6835191, -0.9863633)","(0.7104989, 0.6826453, 0.62066925)","(0.0029235482, -2.8159394, 2.3682132)","(0.0, 1.0, 0.0)","(0.0029235482, -4.3690205E-4, -0.18284702)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/urn/models/model_normalized.obj-7","model_normalized.obj-7.png","(-0.70465183, -0.6835191, -0.9863633)","(0.7104989, 0.6826453, 0.62066925)","(-1.7529778, -2.8159394, 1.621025)","(0.0, 1.0, 0.0)","(0.0029235482, -4.3690205E-4, -0.18284702)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/urn/models/model_normalized.obj-8","model_normalized.obj-8.png","(-0.70465183, -0.6835191, -0.9863633)","(0.7104989, 0.6826453, 0.62066925)","(-2.4802961, -2.8159394, -0.18284713)","(0.0, 1.0, 0.0)","(0.0029235482, -4.3690205E-4, -0.18284702)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/urn/models/model_normalized.obj-9","model_normalized.obj-9.png","(-0.70465183, -0.6835191, -0.9863633)","(0.7104989, 0.6826453, 0.62066925)","(-1.7529778, -2.8159394, -1.986719)","(0.0, 1.0, 0.0)","(0.0029235482, -4.3690205E-4, -0.18284702)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/urn/models/model_normalized.obj-10","model_normalized.obj-10.png","(-0.70465183, -0.6835191, -0.9863633)","(0.7104989, 0.6826453, 0.62066925)","(0.0029237652, -2.8159394, -2.7339072)","(0.0, 1.0, 0.0)","(0.0029235482, -4.3690205E-4, -0.18284702)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/urn/models/model_normalized.obj-11","model_normalized.obj-11.png","(-0.70465183, -0.6835191, -0.9863633)","(0.7104989, 0.6826453, 0.62066925)","(1.7588253, -2.8159394, -1.9867187)","(0.0, 1.0, 0.0)","(0.0029235482, -4.3690205E-4, -0.18284702)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/urn/models/model_normalized.obj-12","model_normalized.obj-12.png","(-0.70465183, -0.6835191, -0.9863633)","(0.7104989, 0.6826453, 0.62066925)","(2.486143, -2.8159394, -0.182847)","(0.0, 1.0, 0.0)","(0.0029235482, -4.3690205E-4, -0.18284702)",""
"/mnt/c/Users/najim/Documents/data/3dstyletransfer/shapenet-data/urn/models/model_normalized.obj-13","model_normalized.obj-13.png","(-0.70465183, -0.6835191, -0.9863633)","(0.7104989, 0.6826453, 0.62066925)","(1.7588243, -2.8159394, 1.6210256)","(0.0, 1.0, 0.0)","(0.0029235482, -4.3690205E-4, -0.18284702)",""
