,current_time,overall_loss,content_loss,tv_loss,style_loss,time
bunny_simpsons1,2019-11-06 19:48:21.018129,93149680000.0,42.810287,4500.262,7079087600.0,1188
bunny_fungai1,2019-11-06 20:08:21.875284,3243332900.0,1.4489198,438.6499,301628200.0,1200
bunny_simpsons1,2019-11-06 19:48:21.018129,93149680000.0,42.810287,4500.262,7079087600.0,1188
bunny_fungai1,2019-11-06 20:08:21.875284,3243332900.0,1.4489198,438.6499,301628200.0,1200
bunny_perry1,2019-11-06 20:28:14.750650,11556056000.0,5.2912116,1957.3386,777898800.0,1192
bunny_simpsons1,2019-11-06 19:48:21.018129,93149680000.0,42.810287,4500.262,7079087600.0,1188
bunny_fungai1,2019-11-06 20:08:21.875284,3243332900.0,1.4489198,438.6499,301628200.0,1200
bunny_new_york1,2019-11-06 20:48:00.608372,27321045000.0,12.35327,1237.565,2490748700.0,1185
bunny_perry1,2019-11-06 20:28:14.750650,11556056000.0,5.2912116,1957.3386,777898800.0,1192
bunny_simpsons1,2019-11-06 19:48:21.018129,93149680000.0,42.810287,4500.262,7079087600.0,1188
bunny_fungai1,2019-11-06 20:08:21.875284,3243332900.0,1.4489198,438.6499,301628200.0,1200
bunny_lichtenstein1,2019-11-06 21:07:45.072051,155754890000.0,68.42145,5255.074000000001,18386498000.0,1184
bunny_new_york1,2019-11-06 20:48:00.608372,27321045000.0,12.35327,1237.565,2490748700.0,1185
bunny_perry1,2019-11-06 20:28:14.750650,11556056000.0,5.2912116,1957.3386,777898800.0,1192
bunny_simpsons1,2019-11-06 19:48:21.018129,93149680000.0,42.810287,4500.262,7079087600.0,1188
bunny_fungai1,2019-11-06 20:08:21.875284,3243332900.0,1.4489198,438.6499,301628200.0,1200
bunny_lichtenstein1,2019-11-06 21:07:45.072051,155754890000.0,68.42145,5255.074000000001,18386498000.0,1184
bunny_new_york1,2019-11-06 20:48:00.608372,27321045000.0,12.35327,1237.565,2490748700.0,1185
bunny_perry1,2019-11-06 20:28:14.750650,11556056000.0,5.2912116,1957.3386,777898800.0,1192
bunny_simpsons1,2019-11-06 19:48:21.018129,93149680000.0,42.810287,4500.262,7079087600.0,1188
teapot_simpsons1,2019-11-06 21:20:56.034832,116597236000.0,52.53893000000001,2384.6777,11280909000.0,790
bunny_fungai1,2019-11-06 20:08:21.875284,3243332900.0,1.4489198,438.6499,301628200.0,1200
bunny_lichtenstein1,2019-11-06 21:07:45.072051,155754890000.0,68.42145,5255.074000000001,18386498000.0,1184
bunny_new_york1,2019-11-06 20:48:00.608372,27321045000.0,12.35327,1237.565,2490748700.0,1185
bunny_perry1,2019-11-06 20:28:14.750650,11556056000.0,5.2912116,1957.3386,777898800.0,1192
bunny_simpsons1,2019-11-06 19:48:21.018129,93149680000.0,42.810287,4500.262,7079087600.0,1188
teapot_fungai1,2019-11-06 21:34:27.346165,4574175700.0,2.0716028000000004,253.56705,405613060.0,811
teapot_simpsons1,2019-11-06 21:20:56.034832,116597236000.0,52.53893000000001,2384.6777,11280909000.0,790
bunny_fungai1,2019-11-06 20:08:21.875284,3243332900.0,1.4489198,438.6499,301628200.0,1200
bunny_lichtenstein1,2019-11-06 21:07:45.072051,155754890000.0,68.42145,5255.074000000001,18386498000.0,1184
bunny_new_york1,2019-11-06 20:48:00.608372,27321045000.0,12.35327,1237.565,2490748700.0,1185
bunny_perry1,2019-11-06 20:28:14.750650,11556056000.0,5.2912116,1957.3386,777898800.0,1192
bunny_simpsons1,2019-11-06 19:48:21.018129,93149680000.0,42.810287,4500.262,7079087600.0,1188
teapot_fungai1,2019-11-06 21:34:27.346165,4574175700.0,2.0716028000000004,253.56705,405613060.0,811
teapot_perry1,2019-11-06 21:47:46.184313,24403548000.0,11.487053,1138.3906,1315604900.0,798
teapot_simpsons1,2019-11-06 21:20:56.034832,116597236000.0,52.53893000000001,2384.6777,11280909000.0,790
bunny_fungai1,2019-11-06 20:08:21.875284,3243332900.0,1.4489198,438.6499,301628200.0,1200
bunny_lichtenstein1,2019-11-06 21:07:45.072051,155754890000.0,68.42145,5255.074000000001,18386498000.0,1184
bunny_new_york1,2019-11-06 20:48:00.608372,27321045000.0,12.35327,1237.565,2490748700.0,1185
bunny_perry1,2019-11-06 20:28:14.750650,11556056000.0,5.2912116,1957.3386,777898800.0,1192
bunny_simpsons1,2019-11-06 19:48:21.018129,93149680000.0,42.810287,4500.262,7079087600.0,1188
teapot_fungai1,2019-11-06 21:34:27.346165,4574175700.0,2.0716028000000004,253.56705,405613060.0,811
teapot_new_york1,2019-11-06 22:00:50.668005,49970190000.0,23.055481,672.9343,3791934700.0,784
teapot_perry1,2019-11-06 21:47:46.184313,24403548000.0,11.487053,1138.3906,1315604900.0,798
teapot_simpsons1,2019-11-06 21:20:56.034832,116597236000.0,52.53893000000001,2384.6777,11280909000.0,790
bunny_fungai1,2019-11-06 20:08:21.875284,3243332900.0,1.4489198,438.6499,301628200.0,1200
bunny_lichtenstein1,2019-11-06 21:07:45.072051,155754890000.0,68.42145,5255.074000000001,18386498000.0,1184
bunny_new_york1,2019-11-06 20:48:00.608372,27321045000.0,12.35327,1237.565,2490748700.0,1185
